-----------------------Fichiers déjà mis à jour---------------
-----------------------------|--------------------------------
-----------------------------|--------------------------------
-----------------------------|--------------------------------
---------------------------- |--------------------------------
Updated: custom\eAAC_Scripts\vendmachine.txt  
Updated: custom\eAAC_Scripts\banker.txt  
Updated: custom\eAAC_Scripts\Kafra_Express_files.conf  
Updated: custom\eAAC_Scripts\DonationGirl\sql\donate.sql  
Updated: custom\eAAC_Scripts\DonationGirl\sql\donate_item_db.sql  
Updated: custom\eAAC_Scripts\DonationGirl\donate.txt  
Updated: custom\eAAC_Scripts\roll_a_dice.txt  
Updated: custom\eAAC_Scripts\messageboards.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_warp_woe.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_main.txt  
Updated: custom\eAAC_Scripts\kafraExpress\config.txt  
Updated: custom\eAAC_Scripts\kafraExpress\kafras.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_warp_dungeon.txt  
Updated: custom\eAAC_Scripts\kafraExpress\global_functionsKE.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_stats.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_warp_pvp.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_broadcast.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_jobswap.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_rent.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_refine.txt  
Updated: custom\eAAC_Scripts\kafraExpress\Changelog.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_shop.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_bank.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_uncard.txt  
Updated: custom\eAAC_Scripts\kafraExpress\readme.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_statmarket.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_jobchange.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_warp_town.txt  
Updated: custom\eAAC_Scripts\kafraExpress\ke_dye.txt  
Updated: custom\devnpc.txt  
Updated: custom\floating_rates.txt  
Updated: custom\blackjack.txt  
Updated: custom\breeder.txt  
Updated: custom\card_remover.txt  
Updated: custom\morroc_raceway.txt  
Updated: custom\WoE_Setter.txt  
Updated: custom\stock_market.txt  
Updated: custom\airplane.txt  
Updated: custom\gefenia.txt  
Updated: custom\Lance\FR_MailSystem.c  
Updated: custom\Lance\FR_HallOfFame.c  
Updated: custom\Lance\FR_WeatherController.c  
Updated: custom\quests\elvenear.txt  
Updated: custom\quests\may_hats.txt  
Updated: custom\quests\kiel_quest.txt  
Updated: custom\quests\valhallen.txt  
Updated: custom\quests\kahohorn.txt  
Updated: custom\quests\dead_branch.txt  
Updated: custom\quests\magicalhatquest.txt  
Updated: custom\quests\sphinx_mask.txt  
Updated: custom\quests\tha_statues.txt  
Updated: custom\quests\sunglasses.txt  
Updated: custom\quests\kaho_balmung.txt  
Updated: custom\quests\fashion.txt  
Updated: custom\quests\umbalian_language.txt  
Updated: custom\quests\ironcane.txt  
Updated: custom\quests\event_6_new_hats.txt  
Updated: custom\quests\bandit_beard.txt  
Updated: custom\quests\lvl99_quest.txt  
Updated: custom\quests\berzebub.txt  
Updated: custom\quests\thq\THQS_QuestNPC.txt  
Updated: custom\quests\thq\THQS_Quests.txt  
Updated: custom\quests\thq\THQS_GuildNPC.txt  
Updated: custom\quests\thq\THQS_ChatingNPC.txt  
Updated: custom\quests\thq\THQS_TTShop.txt  
Updated: custom\jobs\reset.txt  
Updated: custom\jobs\jobmaster.txt  
Updated: custom\2-2shop.txt  
Updated: custom\MVP_arena\arena_mvp.txt  
Updated: custom\MVP_arena\amvp_func.txt  
Updated: quests\seals\brisingamen_seal.txt  
Updated: quests\seals\god_weapon_creation.txt  
Updated: quests\seals\god_global.txt  
Updated: quests\seals\sleipnir_seal.txt  
Updated: quests\seals\mjolnir_seal.txt 
Updated: quests\quests_airship.txt  
Updated: quests\quests_gonryun.txt  
Updated: quests\quests_hugel.txt  
Updated: quests\quests_lighthalzen.txt  
Updated: quests\quests_ein.txt  
Updated: quests\The_Sign_Quest.txt  
Updated: quests\gunslinger_quests.txt  
Updated: quests\quests_lutie.txt 
Updated: quests\quests_payon.txt  
Updated: quests\quests_geffen.txt  
Updated: quests\quests_yuno.txt  
Updated: quests\quests_rachel.txt  
Updated: quests\quests_louyang.txt  
Updated: quests\quests_ayothaya.txt  
Updated: quests\quests_comodo.txt  
Updated: quests\quests_morocc.txt  
Updated: quests\doomed_swords_quest.txt  
Updated: quests\Kiel_Hyre_Quest.txt  
Updated: quests\quests_prontera.txt  
Updated: jobs\2-1a\LordKnight.txt
Updated: jobs\2-1a\WhiteSmith.txt  
Updated: jobs\2-1a\HighPriest.txt  
Updated: jobs\2-1a\AssassinCross.txt  
Updated: jobs\2-1a\HighWizard.txt  
Updated: jobs\2-1a\Sniper.txt  
Updated: jobs\2-2a\Clown.txt  
Updated: jobs\2-2a\Stalker.txt  
Updated: jobs\2-2a\Paladin.txt  
Updated: jobs\2-2a\Gypsy.txt  
Updated: jobs\2-2a\Champion.txt  
Updated: airports\airships.txt
Updated: airports\einbroch.txt  
Updated: airports\lighthalzen.txt
Updated: airports\yuno.txt 
Updated: warps\dungeons\juperos.txt  
Updated: warps\dungeons\xmas.txt  
Updated: warps\dungeons\odin.txt  
Updated: warps\fields\abyss_warper.txt  
Updated: cities\lighthalzen.txt  
Updated: cities\jawaii.txt  
Updated: cities\aldebaran.txt
Updated: cities\morocc.txt  
Updated: cities\payon.txt
Updated: cities\geffen.txt  
Updated: cities\yuno.txt  
Updated: cities\niflheim.txt
Updated: other\divorce.txt  
Updated: other\powernpc.txt  
Updated: other\monster_museum.txt  
Updated: other\hugel_bingo.txt  
Updated: other\comodo_gambling.txt  
Updated: quests\newgears\2004_headgears.txt  
Updated: quests\first_class\tu_acolyte.txt  
Updated: quests\first_class\tu_archer.txt  
Updated: scripts_eaac.conf  
Updated: scripts_warps.conf  
Updated: scripts_athena.conf  
Updated: scripts_custom.conf  
Updated: warps\cities\comodo.txt  

----------------ajouts et suppressions-------------------

Added: guides\guides_veins.txt  
Added: sample\npc_test_duplicate.txt  
Deleted: sample\npc_card_remover.txt  
Deleted: other\arena.txt  
Added: other\turbotrack  
Added: other\turbotrack\Normal_Solo.txt  
Added: other\turbotrack\Expert_4.txt  
Added: other\turbotrack\Normal_4.txt  
Added: other\turbotrack\Expert_16.txt  
Added: other\turbotrack\Expert_8.txt  
Added: other\turbotrack\Normal_16.txt  
Added: other\turbotrack\Normal_8.txt  
Added: other\turbotrack\Turbo_Track.txt  
Added: other\arena  
Added: other\arena\arena_room.txt  
Added: other\arena\arena_party.txt  
Added: other\arena\arena_lvl50.txt  
Added: other\arena\arena_lvl60.txt  
Added: other\arena\arena_lvl70.txt  
Added: other\arena\arena_lvl80.txt  
Added: other\arena\arena_point.txt  
Added: warps\cities\moscovia.txt  
Added: warps\dungeons\mosk_dun.txt  
Added: events\children_week.txt  
Added: events\christmas_2005.txt  
Added: events\halloween_2006.txt  
Deleted: custom\eAAC_Scripts\disguiser.txt  
Added: custom\ayothaya.txt  
Added: custom\warper.txt  
Deleted: custom\jobs\old  
Added: cities\veins.txt  
Added: merchants\advanced_refiner.txt  
Added: custom\marriage.txt  
Deleted: custom\poetry  
Deleted: custom\bongunsword.txt  
Added: custom\quests\bongunsword.txt  

-----------------------Fichiers à mettre à jour---------------
-----------------------------|--------------------------------
-----------------------------|--------------------------------
-----------------------------|--------------------------------
---------------------------- |--------------------------------
----------------------------\/--------------------------------

Updated: cities\gonryun.txt  aegis
Updated: cities\louyang.txt  aegis
Updated: cities\ayothaya.txt  aegis
Updated: cities\amatsu.txt  aegis

Updated: other\msg_boards.txt  
Updated: other\Global_Functions.txt  

Updated: quests\eye_of_hellion.txt  
Updated: quests\quests_juperos.txt
Updated: quests\quests_amatsu.txt    
Updated: quests\quests_niflheim.txt  
Updated: quests\mrsmile.txt  
Updated: quests\cooking_quest.txt  
Updated: quests\Lvl4_weapon_quest.txt  
Updated: quests\quests_aldebaran.txt  
Updated: quests\juice_maker.txt  
Updated: quests\bunnyband.txt  
Updated: quests\obb_quest.txt  

Updated: quests\skills\rogue_skills.txt  
Updated: quests\skills\blacksmith_skills.txt  
Updated: quests\skills\novice_skills.txt  
Updated: quests\skills\knight_skills.txt  
Updated: quests\skills\assassin_skills.txt  
Updated: quests\skills\swordman_skills.txt  
Updated: quests\skills\dancer_skills.txt  
Updated: quests\skills\thief_skills.txt  
Updated: quests\skills\acolyte_skills.txt  
Updated: quests\skills\wizard_skills.txt  
Updated: quests\skills\merchant_skills.txt  
Updated: quests\skills\monk_skills.txt  
Updated: quests\skills\archer_skills.txt  
Updated: quests\skills\hunter_skills.txt  
Updated: quests\skills\priest_skills.txt  
Updated: quests\skills\crusader_skills.txt  
Updated: quests\skills\bard_skills.txt  
Updated: quests\skills\mage_skills.txt  
Updated: quests\skills\alchemist_skills.txt  
Updated: quests\skills\sage_skills.txt  

Updated: merchants\hair_style.txt  
Updated: merchants\ammo_dealer.txt  
Updated: merchants\hair_dyer.txt  
Added: merchants\elemental_trader.txt  (! confs)
Updated: merchants\refine.txt  
Updated: merchants\alchemist.txt  
Updated: merchants\gemstone.txt  
Updated: merchants\renters.txt  
Updated: merchants\inn.txt  
Updated: merchants\clothes_dyer.txt  
Updated: merchants\kunai_maker.txt  
Updated: merchants\socket_enchant.txt  
Updated: merchants\ammo_boxes.txt  
Updated: merchants\milk_trader.txt  
Updated: merchants\shops.txt  

Updated: jobs\2-1\knight.txt  
Updated: jobs\2-1\blacksmith.txt  
Updated: jobs\2-1\priest.txt  
Updated: jobs\1-1e\taekwon.txt  
Updated: jobs\1-1e\gunslinger.txt  
Updated: jobs\1-1e\ninja.txt  
Updated: jobs\novice\supernovice.txt  
Updated: jobs\novice\novice.txt  
Updated: jobs\2-1e\StarGladiator.txt  
Updated: jobs\2-2e\SoulLinker.txt  
Updated: jobs\1-1\mage.txt  
Updated: jobs\1-1\acolyte.txt  

Updated: guild\gldfunc_dunsw.txt  
Updated: guild\payg\payg_kafras.txt  
Updated: guild\payg\payg_flags.txt  
Updated: guild\payg\payg_guardians.txt  
Updated: guild\payg\payg_managers.txt  
Updated: guild\payg\payg_ev_agit.txt  
Updated: guild\payg\payg_treas.txt  
Updated: guild\payg\payg_dunsw.txt  
Updated: guild\gldfunc_kafra.txt  
Updated: guild\gefg\gefg_flags.txt  
Updated: guild\gefg\gefg_guardians.txt  
Updated: guild\gefg\gefg_managers.txt  
Updated: guild\gefg\gefg_ev_agit.txt  
Updated: guild\gefg\gefg_treas.txt  
Updated: guild\gefg\gefg_dunsw.txt  
Updated: guild\gefg\gefg_kafras.txt  
Updated: guild\gldfunc_flag.txt  
Updated: guild\gldfunc_manager.txt  
Updated: guild\gldfunc_treasure.txt  
Updated: guild\aldeg\aldeg_kafras.txt  
Updated: guild\aldeg\aldeg_flags.txt  
Updated: guild\aldeg\aldeg_guardians.txt  
Updated: guild\aldeg\aldeg_managers.txt  
Updated: guild\aldeg\aldeg_ev_agit.txt  
Updated: guild\aldeg\aldeg_treas.txt  
Updated: guild\aldeg\aldeg_dunsw.txt  
Updated: guild\prtg\prtg_kafras.txt  
Updated: guild\prtg\prtg_flags.txt  
Updated: guild\prtg\prtg_guardians.txt  
Updated: guild\prtg\prtg_managers.txt  
Updated: guild\prtg\prtg_ev_agit.txt  
Updated: guild\prtg\prtg_treas.txt  
Updated: guild\prtg\prtg_dunsw.txt  
Updated: guild\ev_agit_event.txt  
Updated: guild\gldfunc_ev_agit.txt  

Updated: events\nguild\nguild_dunsw.txt  
Updated: events\nguild\nguild_warper.txt  
Updated: events\nguild\nguild_kafras.txt  
Updated: events\nguild\nguild_flags.txt  
Updated: events\nguild\nguild_guardians.txt  
Updated: events\nguild\nguild_managers.txt  
Updated: events\nguild\nguild_ev_agit.txt  
Updated: events\nguild\nguild_treas.txt  

Updated: events\xmas.txt

Updated: kafras\kafras_yun.txt  
Updated: kafras\kafras_mor.txt  
Updated: kafras\kafras_alb.txt  
Updated: kafras\kafras_com.txt  
Updated: kafras\kafras_izl.txt  
Updated: kafras\kafras_pron.txt  
Updated: kafras\kafras_gef.txt  
Updated: kafras\kafras_dungeons.txt  
Updated: kafras\dts_warper.txt  
Updated: kafras\kafras_alde.txt  
Updated: kafras\functions_kafras.txt  
Updated: kafras\cool_event_corp.txt  
Updated: kafras\kafras_new.txt  
Updated: kafras\kafras_pay.txt  

Updated: custom\adoption.txt  
Updated: custom\sign_your_items.txt  
Updated: custom\banks\bank.txt  
Updated: custom\banks\kafra_bank.txt  
Updated: custom\dye.txt  


