Le Livre d'Ymir
http://bookofymir.free.fr/

Projet eAthena FR Stable
Avancement des Traductions

//Dossier//
nomdufichier.txt			avancement		nom du traducteur	nom du correcteur
guides/guides_izl.txt			100%			Myllena			Myllena
guides/guides_juno.txt			100%			Myllena			Myllena
guides/guides_lhz.txt			100%			Myllena			Myllena
guides/guides_louyang.txt		100%			Myllena			Myllena
guides/guides_mor.txt			100%			Myllena			Myllena
guides/guides_nif.txt			100%			Myllena			Myllena
guides/guides_pay.txt			100%			Myllena			Myllena
guides/guides_pron.txt			100%			Myllena			Myllena
guides/guides_rachel.txt		100%			Myllena			Myllena
guides/guides_umb.txt			100%			Myllena			Myllena
guides/guides_veins.txt			100%			Myllena			Myllena


//Guild//
guild/agit_controller.txt 		100%			Myllena			Myllena
guild/agit_template.txt  		100%			Myllena			Myllena
guild/aldeg_cas01.txt  			100%			Myllena			Myllena
guild/aldeg_cas02.txt  			100%			Myllena			Myllena
guild/aldeg_cas03.txt  			100%			Myllena			Myllena
guild/aldeg_cas04.txt  			100%			Myllena			Myllena
guild/aldeg_cas05.txt  	  		100%			Myllena			Myllena
guild/gefg_cas01.txt  			100%			Myllena			Myllena
guild/gefg_cas02.txt  			100%			Myllena			Myllena
guild/gefg_cas03.txt  			100%			Myllena			Myllena
guild/gefg_cas04.txt  			100%			Myllena			Myllena
guild/gefg_cas05.txt  			100%			Myllena			Myllena
guild/payg_cas01.txt  			100%			Myllena			Myllena
guild/payg_cas02.txt  			100%			Myllena			Myllena
guild/payg_cas03.txt  			100%			Myllena			Myllena
guild/payg_cas04.txt  			100%			Myllena			Myllena
guild/payg_cas05.txt  			100%			Myllena			Myllena
guild/prtg_cas01.txt  			100%			Myllena			Myllena
guild/prtg_cas02.txt  			100%			Myllena			Myllena
guild/prtg_cas03.txt  			100%			Myllena			Myllena
guild/prtg_cas04.txt  			100%			Myllena			Myllena
guild/prtg_cas05.txt  			100%			Myllena			Myllena


//Guild2//
guild2/arug_cas01.txt  			100%			Myllena			Myllena
guild2/arug_cas02.txt  			100%			Myllena			Myllena
guild2/arug_cas03.txt   		100%			Myllena			Myllena
guild2/arug_cas04.txt    		100%			Myllena			Myllena
guild2/arug_cas05.txt  			100%			Myllena			Myllena
guild2/schg_cas01.txt  			100%			Myllena			Myllena
guild2/schg_cas02.txt  			100%			Myllena			Myllena
guild2/schg_cas03.txt  			100%			Myllena			Myllena
guild2/schg_cas04.txt  			100%			Myllena			Myllena
guild2/schg_cas05.txt  			100%			Myllena			Myllena


//Jobs//
jobs/valkyrie.txt			100%			Myllena			Myllena

//Jobs//1-1//
jobs/1-1/acolyte.txt			100%			Myllena			Myllena
jobs/1-1/archer.txt			100%			Myllena			Myllena
jobs/1-1/mage.txt			100%			Myllena			Myllena
jobs/1-1/merchant.txt			100%			Myllena			Myllena
jobs/1-1/swordman.txt			100%			Myllena			Myllena
jobs/1-1/thief.txt			100%			Myllena			Myllena

//Jobs//1-1e//
jobs/1-1e/gunslinger.txt		100%			Irreal			Myllena
jobs/1-1e/ninja.txt			100%			Athanil			Myllena
jobs/1-1e/taekwon.txt			100%			Myllena			Myllena

//Jobs//2-1//
jobs/2-1/assassin.txt			-		
jobs/2-1/blacksmith.txt			100%			Iria, Myllena		Myllena		
jobs/2-1/hunter.txt			-		
jobs/2-1/knight.txt			100%			Iria			Irreal, Myllena
jobs/2-1/priest.txt			-		
jobs/2-1/wizard.txt			-		

//Jobs//2-1a//
jobs/2-1a/AssassinCross.txt  		100%			Myllena			Myllena
jobs/2-1a/HighPriest.txt  		100%			Myllena			Myllena
jobs/2-1a/HighWizard.txt  		100%			Myllena			Myllena
jobs/2-1a/LordKnight.txt  		100%			Myllena			Myllena
jobs/2-1a/Sniper.txt  			100%			Myllena			Myllena
jobs/2-1a/WhiteSmith.txt  		100%			Myllena			Myllena

//Jobs//2-1e//
jobs/2-1e/StarGladiator.txt		-

//Jobs//2-2//
jobs/2-2/alchemist.txt			-			
jobs/2-2/bard.txt			100%			Athanil			Myllena
jobs/2-2/crusader.txt			100%			Athanil			Myllena
jobs/2-2/dancer.txt			100%			Myllena			Irreal, Myllena
jobs/2-2/monk.txt			-		
jobs/2-2/rogue.txt			-			
jobs/2-2/sage.txt			-	

//Jobs//2-2a//
jobs/2-2a/Champion.txt  		100%			Myllena			Myllena
jobs/2-2a/Clown.txt  			100%			Myllena			Myllena
jobs/2-2a/Creator.txt  			100%			Myllena			Myllena
jobs/2-2a/Gypsy.txt  			100%			Myllena			Myllena
jobs/2-2a/Paladin.txt  			100%			Myllena			Myllena
jobs/2-2a/Professor.txt  		100%			Myllena			Myllena
jobs/2-2a/Stalker.txt  			100%			Myllena			Myllena

//Jobs//2-2e//
jobs/2-2e/SoulLinker.txt		-

//Jobs//Novice//
jobs/novice/novice.txt			100%			Myllena			Myllena
jobs/novice/supernovice.txt		100%			MageGaHell		Myllena


//Kafras//
kafras/cool_event_corp.txt		100%			Myllena			Myllena
kafras/dts_warper.txt			-			
kafras/functions_kafras.txt		100%			Myllena			Myllena
kafras/kafras_alb.txt			100%			Myllena			Myllena
kafras/kafras_alde.txt			100%			Myllena			Myllena
kafras/kafras_com.txt			100%			Myllena			Myllena
kafras/kafras_dungeons.txt		100%			Myllena			Myllena
kafras/kafras_gef.txt			100%			Myllena			Myllena
kafras/kafras_izl.txt			100%			Myllena			Myllena
kafras/kafras_mor.txt			100%			Myllena			Myllena
kafras/kafras_new.txt			100%			Myllena			Myllena
kafras/kafras_pay.txt			100%			Myllena			Myllena
kafras/kafras_pron.txt			100%			Myllena			Myllena
kafras/kafras_yun.txt			100%			Myllena			Myllena

//Merchants//
merchants/advanced_refiner.txt		100%			Myllena			Myllena
merchants/alchemist.txt			100%			Myllena			Myllena
merchants/ammo_boxes.txt		100%			Myllena			Myllena
merchants/ammo_dealer.txt		100%			Myllena			Myllena
merchants/cash_trader.txt		100%			Myllena			Myllena
merchants/clothes_dyer.txt		100%			Myllena			Myllena
merchants/dye_maker.txt			100%			Myllena			Myllena
merchants/elemental_trader.txt		100%			Myllena			Myllena
merchants/gemstone.txt			100%			Myllena			Myllena
merchants/hair_dyer.txt			100%			Myllena			Myllena
merchants/hair_style.txt		100%			Myllena			Myllena
merchants/icecream.txt			100%			Myllena			Myllena
merchants/inn.txt			100%			Myllena			Myllena
merchants/kunai_maker.txt		100%			Myllena			Myllena
merchants/milk_trader.txt		100%			Myllena			Myllena
merchants/novice_exchange.txt		100%			Myllena			Myllena
merchants/old_pharmacist.txt		100%			Myllena			Myllena
merchants/quivers.txt			100%			Myllena			Myllena
merchants/refine.txt			100%			Myllena			Myllena
merchants/renters.txt			100%			Myllena			Myllena
merchants/shops.txt			100%			Myllena			Myllena
merchants/socket_enchant.txt		100%			Myllena			Myllena


//Other//
other/auction.txt			100%			Elianor			Myllena
other/books.txt				-
other/bulletin_boards.txt		100%			Myllena			Myllena
other/CashShop_Functions.txt		100%			Myllena			Myllena
other/comodo_gambling.txt		100%			Myllena			Myllena
other/divorce.txt			100%			Myllena			Myllena
other/fortune.txt			-
other/Global_Functions.txt		100%			Myllena			Myllena
other/gympass.txt			-
other/hugel_bingo.txt			-
other/mail.txt				100%			Myllena			Myllena
other/marriage.txt			100%			Myllena			Myllena
other/monster_museum.txt		100%			Myllena			Myllena
other/msg_boards.txt			100%			Myllena			Myllena
other/powernpc.txt			-
other/pvp.txt				100%			Myllena			Myllena
other/resetskill.txt			-

//Other//Arena//
other/arena/arena_lvl50.txt		-
other/arena/arena_lvl60.txt		-
other/arena/arena_lvl70.txt		-
other/arena/arena_lvl80.txt		-
other/arena/arena_party.txt		-
other/arena/arena_point.txt		-
other/arena/arena_room.txt		-


//Quests//
quests/Bard_Quest.txt			-			
quests/bunnyband.txt			100%			Myllena			Myllena
quests/cooking_quest.txt		-			Irreal			Myllena (en cours)
quests/counteragent_mixture.txt		100%			Myllena			Myllena
quests/doomed_swords.txt		-
quests/doomed_swords_quests.txt		-
quests/eye_of_hellion.txt		100%			Iria			Myllena
quests/gunslinger_quests.txt		-
quests/juice_maker.txt			100%			Myllena			Myllena
quests/Kiel_Hyre_Quest.txt		-			
quests/Lvl4_weapon_quest.txt		100%			Myllena			Myllena
quests/monstertamers.txt		100%			Myllena			Myllena
quests/mrsmile.txt			100%			Myllena			Myllena
quests/ninja_quests.txt			-
quests/obb_quest.txt			100%			Myllena			Myllena
quests/quests_airship.txt		-
quests/quests_alberta.txt		100%			Zack			Myllena
quests/quests_aldebaran.txt		100%			Myllena			Myllena
quests/quests_amatsu.txt		100%			Myllena			Myllena
quests/quests_ayothaya.txt		-
quests/quests_comodo.txt		-
quests/quests_ein.txt			100%			Myllena			Myllena
quests/quests_geffen.txt		100%			Myllena			Myllena
quests/quests_gonryun.txt		-
quests/quests_hugel.txt			-
quests/quests_izlude.txt		100%			Myllena			Myllena
quests/quests_juperos.txt		100%			Capria, Myllena		Myllena
quests/quests_lighthalzen.txt		-
quests/quests_louyang.txt		-
quests/quests_lutie.txt			-
quests/quests_morocc.txt		-
quests/quests_moscovia.txt		-
quests/quests_nameless.txt		-
quests/quests_niflheim.txt		100%			Myllena			Myllena
quests/quests_payon.txt			100%			Myllena			Myllena
quests/quests_prontera.txt		-
quests/quests_rachel.txt		-
quests/quests_umbala.txt		-
quests/quests_veins.txt			-
quests/quests_yuno.txt			-
quests/thana_quest.txt			-
quests/The_Sign_Quest.txt		-

//Quests//First_Class//
quests/first_class/tu_acolyte.txt	100%			Irreal			Myllena, Fern
quests/first_class/tu_archer.txt	-
quests/first_class/tu_ma_th01.txt	-
quests/first_class/tu_magician01.txt	-
quests/first_class/tu_merchant.txt	-
quests/first_class/tu_sword.txt		-
quests/first_class/tu_thief01.txt	-

//Quests//Quiz//
quests/quiz/quiz_qt.txt			-

//Quests//Newgears//
quests/newgears/2004_headgears.txt	100%			Irreal			Myllena
quests/newgears/2005_headgears.txt	100%			Irreal			Myllena
quests/newgears/2006_headgear.txt	100%			Irreal			Myllena

//Quests//Seals//
quests/seals/brisingamen_seal.txt	-
quests/seals/god_global.txt		-
quests/seals/god_weapon_creation.txt	-
quests/seals/megingard_seal.txt		-
quests/seals/mjolnir_seal.txt		-
quests/seals/sleipnir_seal.txt		-

//Quests//Skills//
quests/skills/acolyte_skills.txt	100%			Myllena			Myllena
quests/skills/alchemist_skills.txt	-
quests/skills/archer_skills.txt		100%			Myllena			Myllena
quests/skills/assassin_skills.txt	-
quests/skills/bard_skills.txt		-
quests/skills/blacksmith_skills.txt	-
quests/skills/crusader_skills.txt	-
quests/skills/dancer_skills.txt		-
quests/skills/hunter_skills.txt		100%			Myllena			Myllena
quests/skills/knight_skills.txt		-
quests/skills/mage_skills.txt		100%			Myllena			Myllena
quests/skills/merchant_skills.txt	-
quests/skills/monk_skills.txt		-
quests/skills/novice_skills.txt		-
quests/skills/priest_skills.txt		-
quests/skills/rogue_skills.txt		-
quests/skills/sage_skills.txt		100%			Myllena			Myllena
quests/skills/swordman_skills.txt	-
quests/skills/thief_skills.txt		100%			MageGaHell		Myllena
quests/skills/wizard_skills.txt		100%			MageGaHell		Myllena


//Warps//Cities//
warps/cities/nameless.txt		100%			Atikae			Myllena

//Warps//Dungeons//
warps/dungeons/juperos.txt		100%			Atikae, Myllena		Myllena

//Warps//Fields//
warps/fields/abyss_warper.txt		100%			Myllena			Myllena




